x,y,zone,comp,age,seqs,phylo,lul_2010,lul_1980,lul_2000,lul_2015,regions,spot_comp,spot_age,spot_seqs
-102.125,28.375,20,0.8334228992462158,6.113823413848877,2.3157618045806885,3.2971720695495605,Primary,Primary,Primary,Primary,Mexico Northeast,NA,Hotspot,Hotspot
-101.875,28.375,20,1.3206747770309448,4.154832363128662,2.128603219985962,2.086751937866211,Primary,Primary,Primary,Primary,Mexico Northeast,NA,Hotspot,Hotspot
-101.625,28.375,20,1.4181770086288452,5.230984210968018,1.6592297554016113,2.440960168838501,Primary,Primary,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-101.375,28.375,0,NA,NA,NA,NA,Human use,Human use,Human use,Human use,NA,NA,NA,NA
-101.125,28.375,20,1.4352679252624512,2.9769229888916016,-0.09340563416481018,1.10835599899292,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-100.875,28.375,20,NA,2.6180524826049805,0.3342212736606598,2.017273426055908,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-100.625,28.375,20,1.045223593711853,2.5230600833892822,0.17087805271148682,3.473100423812866,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-100.375,28.375,20,NA,2.8893635272979736,0.9041551351547241,0.9798325300216675,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-113.875,28.125,10,-5.750394821166992,0.4706791043281555,4.179654598236084,2.137573480606079,Primary,Primary,Primary,Primary,Mexico Northwest,Coldspot,NA,Hotspot
-113.625,28.125,10,-5.59364128112793,0.9321109056472778,3.8832523822784424,1.7986243963241577,Primary,Primary,Primary,Primary,Mexico Northwest,Coldspot,NA,Hotspot
-113.375,28.125,10,-5.4242987632751465,2.2904210090637207,3.4938619136810303,1.5475990772247314,Primary,Primary,Primary,Primary,Mexico Northwest,Coldspot,Hotspot,Hotspot
-113.125,28.125,0,-5.729189395904541,1.4962865114212036,3.3492820262908936,2.1767425537109375,Primary,Primary,Primary,Primary,Mexico Northwest,Coldspot,NA,Hotspot
-112.875,28.125,0,-4.7653117179870605,2.4903602600097656,2.39821720123291,1.1125891208648682,Human use,Human use,Human use,Human use,Mexico Northwest,Coldspot,Hotspot,Hotspot
-111.125,28.125,0,1.1189584732055664,-0.17873968183994293,1.6129777431488037,-0.45964285731315613,Human use,Human use,Human use,Human use,Mexico Northwest,NA,NA,NA
-110.875,28.125,0,1.1782448291778564,-0.8442164659500122,-0.7639260292053223,-0.9071857333183289,Human use,Human use,Human use,Human use,Mexico Northwest,NA,NA,NA
-110.625,28.125,0,NA,-0.8651646971702576,-1.6858069896697998,-0.19093483686447144,Human use,Human use,Human use,Human use,Mexico Northwest,NA,NA,NA
-110.375,28.125,0,NA,NA,NA,NA,Human use,Human use,Human use,Human use,NA,NA,NA,NA
-110.125,28.125,0,NA,-0.2777528166770935,-1.7557611465454102,-0.11279746890068054,Human use,Human use,Human use,Human use,Mexico Northwest,NA,NA,NA
-109.875,28.125,0,NA,-0.6663126349449158,-0.7731165289878845,1.2455817461013794,Human use,Human use,Human use,Human use,Mexico Northwest,NA,NA,NA
-109.625,28.125,0,2.4001171588897705,-0.6321830153465271,0.38371455669403076,1.1059812307357788,Primary,Primary,Primary,Primary,Mexico Northwest,Hotspot,NA,NA
-109.375,28.125,10,1.9669363498687744,-0.01278623566031456,1.9540847539901733,2.382803201675415,Primary,Primary,Primary,Primary,Mexico Northwest,Hotspot,NA,NA
-109.125,28.125,10,NA,0.7150830030441284,2.462358236312866,2.67077898979187,Primary,Primary,Primary,Primary,Mexico Northwest,NA,NA,Hotspot
-108.875,28.125,10,NA,1.1672086715698242,3.0633418560028076,2.3310115337371826,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-108.625,28.125,10,0.6481088995933533,1.9536542892456055,4.05697774887085,2.9405219554901123,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-108.375,28.125,10,0.41543450951576233,1.9370230436325073,3.1934731006622314,2.297227621078491,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-108.125,28.125,30,0.9406576156616211,1.560417652130127,3.3578033447265625,3.0536949634552,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-107.875,28.125,10,2.4398529529571533,1.2006895542144775,3.402456521987915,2.8563497066497803,Primary,Primary,Primary,Primary,Mexico Northeast,Hotspot,NA,Hotspot
-107.625,28.125,0,NA,0.891269326210022,3.0805504322052,1.4050122499465942,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-107.375,28.125,0,NA,0.3554345369338989,2.419658899307251,0.15824921429157257,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,Hotspot
-107.125,28.125,0,NA,0.7070533037185669,1.8226771354675293,-0.762696385383606,Primary,Primary,Primary,Primary,Mexico Northeast,NA,NA,NA
-106.875,28.125,20,NA,1.635324478149414,0.43952101469039917,-0.82807457447052,Human use,Human use,Human use,Human use,Mexico Northeast,NA,NA,NA
-106.625,28.125,20,NA,1.3704687356948853,0.5212506651878357,-3.301041841506958,Human use,Human use,Human use,Human use,Mexico Northeast,NA,NA,NA
-106.375,28.125,20,NA,1.8879953622817993,-1.3297629356384277,-3.4342174530029297,Human use,Human use,Human use,Human use,Mexico Northeast,NA,NA,NA
-106.125,28.125,20,1.7972736358642578,4.180234432220459,-2.4786293506622314,-2.3926784992218018,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,Coldspot
-105.875,28.125,20,1.6516281366348267,2.519911289215088,-0.8826829791069031,-1.0670199394226074,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-105.625,28.125,20,NA,2.733442544937134,-2.0315468311309814,-1.4741095304489136,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,Coldspot
-105.375,28.125,20,0.47161856293678284,3.5540108680725098,-1.9252294301986694,0.6288816928863525,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-105.125,28.125,20,0.2510778605937958,3.804473400115967,-1.254159927368164,0.47609609365463257,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-104.875,28.125,20,NA,3.962751626968384,0.21517536044120789,1.247836709022522,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
